D,H Temp,L Temp
26.11.2023,8,4
27.11.2023,5,1
28.11.2023,5,2
29.11.2023,4,1
30.11.2023,4,-2
1.12.2023,2,-3
2.12.2023,4,0
3.12.2023,2,0
4.12.2023,3,2
5.12.2023,4,2
6.12.2023,7,2
7.12.2023,5,3
8.12.2023,8,5
9.12.2023,8,7
10.12.2023,10,8
11.12.2023,9,7
12.12.2023,9,6
13.12.2023,8,3
14.12.2023,7,4
15.12.2023,6,3
16.12.2023,6,3
17.12.2023,6,3
18.12.2023,6,3
19.12.2023,7,2
20.12.2023,7,2
21.12.2023,7,2
22.12.2023,7,2
23.12.2023,7,2
24.12.2023,7,2
25.12.2023,7,2
26.12.2023,7,2
27.12.2023,6,1
28.12.2023,6,1
29.12.2023,6,1
30.12.2023,6,1
