Tue May 21 10:05:15 2024: Hive (C:\Users\Adminstrator\Desktop\HIVE_file\config\SOFTWARE) is not dirty.

Tue May 21 10:05:15 2024: Log opened.
Tue May 21 10:05:15 2024: File: C:\Users\Adminstrator\Desktop\HIVE_file\config\SOFTWARE
Tue May 21 10:05:15 2024: Environment set up.
Tue May 21 10:05:17 2024: Launching allowedenum v.20200511
Tue May 21 10:05:17 2024: Launching appcompatflags v.20200525
Tue May 21 10:05:17 2024: Launching appinitdlls v.20200427
Tue May 21 10:05:17 2024: Launching appkeys v.20200517
Tue May 21 10:05:17 2024: Launching apppaths v.20200511
Tue May 21 10:05:17 2024: Launching at v.20200525
Tue May 21 10:05:17 2024: Launching audiodev v.20200525
Tue May 21 10:05:17 2024: Launching btconfig v.20200526
Tue May 21 10:05:17 2024: Launching calibrator v.20200427
Tue May 21 10:05:17 2024: Launching clsid v.20200526
Tue May 21 10:05:41 2024: Launching cmd_shell v.20200515
Tue May 21 10:05:42 2024: Launching dcom v.20200525
Tue May 21 10:05:42 2024: Launching ddpe v.20221128
Tue May 21 10:05:42 2024: Launching defender v.20200427
Tue May 21 10:05:42 2024: Launching disablemru v.20190924
Tue May 21 10:05:42 2024: Launching disablesr v.20200515
Tue May 21 10:05:42 2024: Launching drivers32 v.20200525
Tue May 21 10:05:42 2024: Launching emdmgmt v.20200511
Tue May 21 10:05:42 2024: Launching execpolicy v.20200517
Tue May 21 10:05:42 2024: Launching exefile v.20211214
Tue May 21 10:05:43 2024: Launching gpohist v.
Tue May 21 10:05:43 2024: Launching heap v.20200427
Tue May 21 10:05:43 2024: Launching ica_sessions v.20200528
Tue May 21 10:05:43 2024: Launching imagefile v.20200515
Tue May 21 10:05:43 2024: Launching injectdll64 v.20200427
Tue May 21 10:05:43 2024: Launching inprocserver v.20200427
Tue May 21 10:05:45 2024: Launching installer v.20200517
Tue May 21 10:05:45 2024: Launching killsuit v.20200427
Tue May 21 10:05:46 2024: Launching landesk v.20200517
Tue May 21 10:05:46 2024: Launching lastloggedon v.20200517
Tue May 21 10:05:46 2024: Launching licenses v.20200526
Tue May 21 10:05:46 2024: Launching macaddr v.20200515
Tue May 21 10:05:46 2024: Launching msis v.20200517
Tue May 21 10:05:46 2024: Launching netsh v.20200515
Tue May 21 10:05:46 2024: Launching networkcards v.20200518
Tue May 21 10:05:46 2024: Launching networklist v.20200518
Tue May 21 10:05:46 2024: Launching outlook_homepage v.20201002
Tue May 21 10:05:46 2024: Launching portdev v.20090118
Tue May 21 10:05:46 2024: Launching powershellcore v.20200525
Tue May 21 10:05:46 2024: Launching printdemon v.20200514
Tue May 21 10:05:46 2024: Launching profilelist v.20200518
Tue May 21 10:05:46 2024: Launching pslogging v.20200515
Tue May 21 10:05:46 2024: Launching psscript v.20200525
Tue May 21 10:05:46 2024: Launching run v.20200511
Tue May 21 10:05:46 2024: Launching runonceex v.20200427
Tue May 21 10:05:46 2024: Launching runvirtual v.20200427
Tue May 21 10:05:46 2024: Launching ryuk_gpo v.20200427
Tue May 21 10:05:46 2024: Launching schedagent v.20200518
Tue May 21 10:05:46 2024: Launching scriptleturl v.20200525
Tue May 21 10:05:47 2024: Launching secctr v.20200517
Tue May 21 10:05:47 2024: Launching sfc v.20200517
Tue May 21 10:05:47 2024: Launching shelloverlay v.20100308
Tue May 21 10:05:47 2024: Launching spp_clients v.20130429
Tue May 21 10:05:47 2024: Launching srum v.20200518
Tue May 21 10:05:47 2024: Launching ssid v.20200515
Tue May 21 10:05:47 2024: Launching susclient v.20200518
Tue May 21 10:05:47 2024: Launching systemindex v.20200518
Tue May 21 10:05:47 2024: Launching taskcache v.20200427
Tue May 21 10:05:47 2024: Launching tasks v.20200427
Tue May 21 10:05:48 2024: Launching termserv v.20200506
Tue May 21 10:05:48 2024: Launching thispcpolicy v.20200511
Tue May 21 10:05:48 2024: Launching uac v.20200427
Tue May 21 10:05:48 2024: Launching uacbypass v.20200511
Tue May 21 10:05:49 2024: Launching uninstall v.20200525
Tue May 21 10:05:49 2024: Launching wab v.20200427
Tue May 21 10:05:49 2024: Launching watp v.20200427
Tue May 21 10:05:49 2024: Launching wbem v.20200511
Tue May 21 10:05:49 2024: Launching winver v.20200525
Tue May 21 10:05:49 2024: Launching wow64 v.20200515
Tue May 21 10:05:49 2024: Launching wsh_settings v.20200517
